document_id,item_name,kana,document_page_number,pdf_page_number,source_type,memo,sort_order
daiichi_neo_2026_04,IgA 血管炎,あいじーえーけっかんえん,56,57,傷病名索引,,1
daiichi_neo_2026_04,IgA 腎症,あいじーえーじんしょう,67,68,傷病名索引,,2
daiichi_neo_2026_04,アイゼンメンジャー症候群,あいぜんめんじゃーしょうこうぐん,53,54,傷病名索引,,3
daiichi_neo_2026_04,ITP,あいてぃーぴー,56,57,傷病名索引,,4
daiichi_neo_2026_04,アカラジア（アカラシア）,あからじあ（あからしあ）,64,65,傷病名索引,,5
daiichi_neo_2026_04,悪性関節リウマチ,あくせいかんせつりうまち,41,42,傷病名索引,,6
daiichi_neo_2026_04,悪性黒色腫,あくせいこくしょくしゅ,33,34,傷病名索引,,7
daiichi_neo_2026_04,悪性腎硬化症,あくせいじんこうかしょう,68,69,傷病名索引,,8
daiichi_neo_2026_04,悪性貧血,あくせいひんけつ,55,56,傷病名索引,,9
daiichi_neo_2026_04,悪性リンパ腫,あくせいりんぱしゅ,33,34,傷病名索引,,10
daiichi_neo_2026_04,アジソン病,あじそんびょう,26,27,傷病名索引,,11
daiichi_neo_2026_04,アスペルガー症候群,あすぺるがーしょうこうぐん,43,44,傷病名索引,,12
daiichi_neo_2026_04,アデノイド,あでのいど,49,50,傷病名索引,,13
daiichi_neo_2026_04,アテローム,あてろーむ,39,40,傷病名索引,,14
daiichi_neo_2026_04,アトピー性皮膚炎,あとぴーせいひふえん,21,22,傷病名索引,,15
daiichi_neo_2026_04,アナフィラクトイド紫斑病,あなふぃらくといどしはんびょう,56,57,傷病名索引,,16
daiichi_neo_2026_04,アミロイド腎症,あみろいどじんしょう,67,68,傷病名索引,,17
daiichi_neo_2026_04,アルコール依存症,あるこーるいぞんしょう,40,41,傷病名索引,,18
daiichi_neo_2026_04,アルコール性肝炎,あるこーるせいかんえん,60,61,傷病名索引,,19
daiichi_neo_2026_04,アルツハイマー病,あるつはいまーびょう,45,46,傷病名索引,,20
daiichi_neo_2026_04,（原発性）アルドステロン症,（げんぱつせい）あるどすてろんしょう,26,27,傷病名索引,,21
daiichi_neo_2026_04,アレルギー性気管支炎,あれるぎーせいきかんしえん,47,48,傷病名索引,,22
daiichi_neo_2026_04,アレルギー性胸膜炎,あれるぎーせいきょうまくえん,50,51,傷病名索引,,23
daiichi_neo_2026_04,アレルギー性紫斑病,あれるぎーせいしはんびょう,56,57,傷病名索引,,24
daiichi_neo_2026_04,アレルギー性喘息,あれるぎーせいぜんそく,47,48,傷病名索引,,25
daiichi_neo_2026_04,アレルギー性肺炎,あれるぎーせいはいえん,50,51,傷病名索引,,26
daiichi_neo_2026_04,アレルギー性鼻炎,あれるぎーせいびえん,48,49,傷病名索引,,27
daiichi_neo_2026_04,アレルギー性肋膜炎,あれるぎーせいろくまくえん,50,51,傷病名索引,,28
daiichi_neo_2026_04,胃アトニー,いあとにー,57,58,傷病名索引,,29
daiichi_neo_2026_04,EB ウイルス感染症,いーびーういるすかんせんしょう,41,42,傷病名索引,,30
daiichi_neo_2026_04,胃炎,いえん,57,58,傷病名索引,,31
daiichi_neo_2026_04,胃潰瘍,いかいよう,57,58,傷病名索引,,32
