document_id,item_name,kana,document_page_number,pdf_page_number,source_type,memo,sort_order
hanasaku_2026_05,RSウイルス感染症,ｱｰﾙｴｽｳｲﾙｽｶﾝｾﾝｼｮｳ,22,22,傷病名索引,,1
hanasaku_2026_05,IgA腎症,ｱｲｼﾞｰｴｰｼﾞﾝｼｮｳ,30,30,傷病名索引,,2
hanasaku_2026_05,ICL,ｱｲｼｰｴﾙ,36,36,傷病名索引,,3
hanasaku_2026_05,IPMN,ｱｲﾋﾟｰｴﾑｴﾇ,27,27,傷病名索引,,4
hanasaku_2026_05,亜急性甲状腺炎,ｱｷｭｳｾｲｺｳｼﾞｮｳｾﾝｴﾝ,49,49,傷病名索引,,5
hanasaku_2026_05,亜急性甲状腺腫,ｱｷｭｳｾｲｺｳｼﾞｮｳｾﾝｼｭ,49,49,傷病名索引,,6
hanasaku_2026_05,アキレス腱断裂,ｱｷﾚｽｹﾝﾀﾞﾝﾚﾂ,53,53,傷病名索引,,7
hanasaku_2026_05,悪性睾丸腫瘍（セミノーマ）,ｱｸｾｲｺｳｶﾞﾝｼｭﾖｳ(ｾﾐﾉｰﾏ),44,44,傷病名索引,,8
hanasaku_2026_05,悪性黒色腫（メラノーマ）,ｱｸｾｲｺｸｼｮｸｼｭ(ﾒﾗﾉｰﾏ),44,44,傷病名索引,,9
hanasaku_2026_05,悪性リンパ腫,ｱｸｾｲﾘﾝﾊﾟｼｭ,45,45,傷病名索引,,10
hanasaku_2026_05,あざ,ｱｻﾞ,59,59,傷病名索引,,11
hanasaku_2026_05,足白癬,ｱｼﾊｸｾﾝ,59,59,傷病名索引,,12
hanasaku_2026_05,あせも,ｱｾﾓ,59,59,傷病名索引,,13
hanasaku_2026_05,頭の骨折,ｱﾀﾏﾉｺｯｾﾂ,51,51,傷病名索引,,14
hanasaku_2026_05,アデノイド肥大,ｱﾃﾞﾉｲﾄﾞﾋﾀﾞｲ,15,15,傷病名索引,,15
hanasaku_2026_05,アデノウイルス感染症,ｱﾃﾞﾉｳｲﾙｽｶﾝｾﾝｼｮｳ,14,14,傷病名索引,,16
hanasaku_2026_05,アテローム,ｱﾃﾛｰﾑ,63,63,傷病名索引,,17
hanasaku_2026_05,アトピー性皮膚炎,ｱﾄﾋﾟｰｾｲﾋﾌｴﾝ,58,58,傷病名索引,,18
hanasaku_2026_05,アナフィラキシー,ｱﾅﾌｨﾗｷｼｰ,71,71,傷病名索引,,19
hanasaku_2026_05,アナフィラキシーショック,ｱﾅﾌｨﾗｷｼｰｼｮｯｸ,71,71,傷病名索引,,20
hanasaku_2026_05,アニサキス症（胃・腸）,ｱﾆｻｷｽｼｮｳ(ｲ･ﾁｮｳ),72,72,傷病名索引,,21
hanasaku_2026_05,アルコール依存症,ｱﾙｺｰﾙｲｿﾞﾝｼｮｳ,14,14,傷病名索引,,22
hanasaku_2026_05,アルコール性肝硬変,ｱﾙｺｰﾙｾｲｶﾝｺｳﾍﾝ,28,28,傷病名索引,,23
hanasaku_2026_05,アルコール中毒（慢性）,ｱﾙｺｰﾙﾁｭｳﾄﾞｸ(ﾏﾝｾｲ),14,14,傷病名索引,,24
hanasaku_2026_05,アルツハイマー,ｱﾙﾂﾊｲﾏｰ,14,14,傷病名索引,,25
hanasaku_2026_05,アルツハイマー型認知症,ｱﾙﾂﾊｲﾏｰｶﾞﾀﾆﾝﾁｼｮｳ,14,14,傷病名索引,,26
hanasaku_2026_05,アルツハイマー病,ｱﾙﾂﾊｲﾏｰﾋﾞｮｳ,14,14,傷病名索引,,27
hanasaku_2026_05,アルドステロン症,ｱﾙﾄﾞｽﾃﾛﾝｼｮｳ,48,48,傷病名索引,,28
hanasaku_2026_05,アレルギー性胃腸炎,ｱﾚﾙｷﾞｰｾｲｲﾁｮｳｴﾝ,22,22,傷病名索引,,29
hanasaku_2026_05,アレルギー性気管支炎,ｱﾚﾙｷﾞｰｾｲｷｶﾝｼｴﾝ,15,15,傷病名索引,,30
hanasaku_2026_05,アレルギー性結膜炎,ｱﾚﾙｷﾞｰｾｲｹﾂﾏｸｴﾝ,37,37,傷病名索引,,31
