document_id,item_name,kana,document_page_number,pdf_page_number,source_type,memo,sort_order
manulife_2024_09,RSR’パターン,あーるえすあーるぱたーん,78,78,傷病名索引,,1
manulife_2024_09,R 波高電位,あーるはこうでんい,78,78,傷病名索引,,2
manulife_2024_09,IgA 血管炎,あいじーえーけっかんえん,61,61,傷病名索引,,3
manulife_2024_09,IgA 腎症,あいじーえーじんしょう,48,48,傷病名索引,,4
manulife_2024_09,ITP（特発性血小板減少性紫斑病）,あいてぃーぴー（とくはつせいけっしょうばんげんしょうせいしはんびょう）,61,61,傷病名索引,,5
manulife_2024_09,アキレス腱断裂,うせいしはんびょう）あきれすけんだんれつ,77,77,傷病名索引,,6
manulife_2024_09,悪性睾丸腫瘍,あくせいこうがんしゅよう,58,58,傷病名索引,,7
manulife_2024_09,悪性黒色腫（メラノーマ）,あくせいこくしょくしゅ（めらのーま）,58,58,傷病名索引,,8
manulife_2024_09,悪性貧血（巨赤芽球性貧血）,あくせいひんけつ（きょせきがきゅうせいひんけつ）,60,60,傷病名索引,,9
manulife_2024_09,悪性リンパ腫,あくせいりんぱしゅ,58,58,傷病名索引,,10
manulife_2024_09,アジソン病,あじそんびょう,26,26,傷病名索引,,11
manulife_2024_09,アトピー性皮膚炎,あとぴーせいひふえん,69,69,傷病名索引,,12
manulife_2024_09,アルコール依存症,あるこーるいぞんしょう,54,54,傷病名索引,,13
manulife_2024_09,アルコール性肝炎,あるこーるせいかんえん,42,42,傷病名索引,,14
manulife_2024_09,アルコール中毒（慢性）,あるこーるちゅうどく（まんせい）,54,54,傷病名索引,,15
manulife_2024_09,アルツハイマー病,あるつはいまーびょう,29,29,傷病名索引,,16
manulife_2024_09,アレルギー性紫斑病,あれるぎーせいしはんびょう,61,61,傷病名索引,,17
manulife_2024_09,アレルギー性鼻炎,あれるぎーせいびえん,35,35,傷病名索引,,18
manulife_2024_09,ＥＢウイルス肝炎,いーびーういるすかんえん,41,41,傷病名索引,,19
manulife_2024_09,胃炎,いえん,38,38,傷病名索引,,20
manulife_2024_09,胃炎（慢性）,いえん（まんせい）,38,38,傷病名索引,,21
manulife_2024_09,胃潰瘍,いかいよう,39,39,傷病名索引,,22
manulife_2024_09,胃潰瘍瘢痕,いかいようはんこん,79,79,傷病名索引,,23
manulife_2024_09,胃下垂,いかすい,79,79,傷病名索引,,24
manulife_2024_09,胃癌,いがん,58,58,傷病名索引,,25
manulife_2024_09,胃憩室,いけいしつ,79,79,傷病名索引,,26
manulife_2024_09,胃酸過多症,いさんかたしょう,38,38,傷病名索引,,27
manulife_2024_09,胃食道逆流症,いしょくどうぎゃくりゅうしょう,38,38,傷病名索引,,28
manulife_2024_09,異所性腎,いしょせいじん,52,52,傷病名索引,,29
manulife_2024_09,Ⅰ型糖尿病,いちがたとうにょうびょう,25,25,傷病名索引,,30
manulife_2024_09,１度房室ブロック,いちどぼうしつぶろっく,78,78,傷病名索引,,31
manulife_2024_09,胃腸炎（急性）,いちょうえん（きゅうせい）,38,38,傷病名索引,,32
manulife_2024_09,一過性脳虚血発作（TIA）,いっかせいのうきょけつほっさ（TIA）,28,28,傷病名索引,,33
manulife_2024_09,胃粘膜下腫瘍,いねんまくかしゅよう,79,79,傷病名索引,,34
manulife_2024_09,胃びらん,いびらん,79,79,傷病名索引,,35
manulife_2024_09,胃部X 線所見（健康診断）,いぶえっくすせんしょけん（けんこうしんだん）,79,79,傷病名索引,,36
manulife_2024_09,いぼ痔,いぼじ,40,40,傷病名索引,,37
manulife_2024_09,胃ポリープ,いぽりーぷ,55、79,55,傷病名索引,,38
manulife_2024_09,イレウス（腸閉塞）,いれうす（ちょうへいそく）,38,38,傷病名索引,,39
manulife_2024_09,陰茎癌,いんけいがん,58,58,傷病名索引,,40
manulife_2024_09,咽頭癌,いんとうがん,58,58,傷病名索引,,41
manulife_2024_09,陰嚢水腫,いんのうすいしゅ,51,51,傷病名索引,,42
manulife_2024_09,インフルエンザ,いんふるえんざ,62,62,傷病名索引,,43
manulife_2024_09,ウェゲナー肉芽腫,うぇげなーにくがしゅ,73,73,傷病名索引,,44
manulife_2024_09,右軸偏位,うじくへんい,78,78,傷病名索引,,45
manulife_2024_09,うつ病,うつびょう,53,53,傷病名索引,,46
manulife_2024_09,HIV（後天性免疫不全症候群）,えいちあいぶい（こうてんせいめんえきふぜんしょうこうぐん）,61,61,傷病名索引,,47
manulife_2024_09,Hb（ヘモグロビン）,こうぐん）えいちびー（へもぐろびん）,60,60,傷病名索引,,48
manulife_2024_09,ＡSD（心房中隔欠損症）,えーえすでぃー（しんぼうちゅうかくけっそんしょう）,21,21,傷病名索引,,49
manulife_2024_09,ＡＬＳ（筋委縮性側索硬化症）,えーえるえす（きんいしゅくせいそくさくこうかしょう）,30,30,傷病名索引,,50
manulife_2024_09,Ａ型肝炎（急性）,えーがたかんえん（きゅうせい）,41,41,傷病名索引,,51
manulife_2024_09,ADHD（注意欠陥・多動性障害）,えーでぃーえいちでぃー（ちゅういけっかん・たどうせいしょうがい）,54,54,傷病名索引,,52
manulife_2024_09,SLE（全身性エリテマトーデス）,いしょうがい）えすえるいー（ぜんしんせいえりてまとーです）,73,73,傷病名索引,,53
manulife_2024_09,S 状結腸癌,えすじょうけっちょうがん,58,58,傷病名索引,,54
manulife_2024_09,エコノミークラス症候群（深部静脈血栓症）,えこのみーくらすしょうこうぐん（しんぶじょうみゃくけっせんしょう）,22,22,傷病名索引,,55
manulife_2024_09,栓症）円錐角膜,っせんしょう）えんすいかくまく,33,33,傷病名索引,,56
manulife_2024_09,横隔膜の挙上,おうかくまくのきょじょう,78,78,傷病名索引,,57
manulife_2024_09,黄斑上膜,おうはんじょうまく,33,33,傷病名索引,,58
manulife_2024_09,黄斑前膜,おうはんぜんまく,33,33,傷病名索引,,59
manulife_2024_09,黄斑変性症,おうはんへんせいしょう,33,33,傷病名索引,,60
manulife_2024_09,おたふく風邪,おたふくかぜ,62,62,傷病名索引,,61
manulife_2024_09,親知らず,おやしらず,37,37,傷病名索引,,62
manulife_2024_09,外耳炎,がいじえん,36,36,傷病名索引,,63
manulife_2024_09,外痔核,がいじかく,40,40,傷病名索引,,64
manulife_2024_09,外傷性くも膜下出血,がいしょうせいくもまくかしゅっけつ,74,74,傷病名索引,,65
manulife_2024_09,潰瘍性大腸炎,かいようせいだいちょうえん,39,39,傷病名索引,,66
manulife_2024_09,解離性大動脈瘤,かいりせいだいどうみゃくりゅう,21,21,傷病名索引,,67
manulife_2024_09,過活動膀胱,かかつどうぼうこう,50,50,傷病名索引,,68
manulife_2024_09,顎関節症,がくかんせつしょう,72,72,傷病名索引,,69
manulife_2024_09,拡張型心筋症,かくちょうがたしんきんしょう,22,22,傷病名索引,,70
manulife_2024_09,角膜炎,かくまくえん,32,32,傷病名索引,,71
manulife_2024_09,角膜潰瘍,かくまくかいよう,32,32,傷病名索引,,72
manulife_2024_09,下肢の骨折（大腿骨、膝関節部、大腿骨頚部および股関節以外）,かしのこっせつ（だいたいこつ、ひざかんせつぶ、だいたいこつけいぶおよびこかんせついがい）,75,75,傷病名索引,,73
manulife_2024_09,腿骨頚部および股関節以外）下肢の静脈瘤,いたいこつけいぶおよびこかんせついがい）かしのじょうみゃくりゅう,22,22,傷病名索引,,74
manulife_2024_09,過食症,かしょくしょう,53,53,傷病名索引,,75
manulife_2024_09,下垂体腺腫,かすいたいせんしゅ,57,57,傷病名索引,,76
manulife_2024_09,風邪,かぜ,62,62,傷病名索引,,77
manulife_2024_09,肩関節周囲炎（四十肩・五十肩）,かたかんせつしゅういえん（しじゅうかた・ごじゅうかた）,72,72,傷病名索引,,78
manulife_2024_09,過多月経,た）かたげっけい,65,65,傷病名索引,,79
manulife_2024_09,過敏性大腸炎,かびんせいだいちょうえん,39,39,傷病名索引,,80
manulife_2024_09,過敏性腸症候群,かびんせいちょうしょうこうぐん,39,39,傷病名索引,,81
manulife_2024_09,花粉症,かふんしょう,35,35,傷病名索引,,82
manulife_2024_09,加齢黄斑変性症,かれいおうはんへんせいしょう,33,33,傷病名索引,,83
manulife_2024_09,川崎病,かわさきびょう,62,62,傷病名索引,,84
manulife_2024_09,眼圧指摘,がんあつしてき,32,32,傷病名索引,,85
manulife_2024_09,肝炎（急性Ａ型肝炎）,かんえん（きゅうせいえーがたかんえん）,41,41,傷病名索引,,86
manulife_2024_09,肝炎（急性Ｂ型肝炎）,かんえん（きゅうせいびーがたかんえん）,42,42,傷病名索引,,87
manulife_2024_09,肝炎（慢性Ｃ型肝炎）,かんえん（まんせいしーがたかんえん）,42,42,傷病名索引,,88
manulife_2024_09,肝炎（慢性Ｂ型肝炎）,かんえん（まんせいびーがたかんえん）,42,42,傷病名索引,,89
manulife_2024_09,肝機能異常,かんきのういじょう,41,41,傷病名索引,,90
manulife_2024_09,肝機能障害,かんきのうしょうがい,41,41,傷病名索引,,91
manulife_2024_09,ガングリオン,がんぐりおん,72,72,傷病名索引,,92
manulife_2024_09,肝血管腫,かんけっかんしゅ,79,79,傷病名索引,,93
manulife_2024_09,肝硬変,かんこうへん,42,42,傷病名索引,,94
manulife_2024_09,間質性肺炎,かんしつせいはいえん,46,46,傷病名索引,,95
manulife_2024_09,鉗子分娩,かんしぶんべん,63,63,傷病名索引,,96
manulife_2024_09,冠状静脈洞調律,かんじょうじょうみゃくどうちょうりつ,78,78,傷病名索引,,97
manulife_2024_09,関節リウマチ（慢性）,かんせつりうまち（まんせい）,73,73,傷病名索引,,98
manulife_2024_09,乾癬（尋常性）,かんせん（じんじょうせい）,69,69,傷病名索引,,99
manulife_2024_09,完全右脚ブロック,かんぜんうきゃくぶろっく,78,78,傷病名索引,,100
manulife_2024_09,肝臓癌,かんぞうがん,58,58,傷病名索引,,101
manulife_2024_09,眼底出血,がんていしゅっけつ,33,33,傷病名索引,,102
manulife_2024_09,肝内結石,かんないけっせき,79,79,傷病名索引,,103
manulife_2024_09,肝内石灰化,かんないせっかいか,79,79,傷病名索引,,104
manulife_2024_09,肝のう胞,かんのうほう,79,79,傷病名索引,,105
manulife_2024_09,肝膿瘍,かんのうよう,43,43,傷病名索引,,106
manulife_2024_09,顔面神経痛,がんめんしんけいつう,30,30,傷病名索引,,107
manulife_2024_09,顔面神経麻痺,がんめんしんけいまひ,30,30,傷病名索引,,108
manulife_2024_09,気管支炎（急性）,きかんしえん（きゅうせい）,45,45,傷病名索引,,109
manulife_2024_09,気管支炎（慢性）,きかんしえん（まんせい）,45,45,傷病名索引,,110
manulife_2024_09,気管支拡張症,きかんしかくちょうしょう,45,45,傷病名索引,,111
manulife_2024_09,気管支喘息,きかんしぜんそく,46,46,傷病名索引,,112
manulife_2024_09,（自然）気胸,（しぜん）ききょう,45,45,傷病名索引,,113
manulife_2024_09,気腫性変化,きしゅせいへんか,78,78,傷病名索引,,114
manulife_2024_09,ぎっくり腰（腰椎捻挫）,ぎっくりごし（ようついねんざ）,76,76,傷病名索引,,115
manulife_2024_09,逆流性食道炎,ぎゃくりゅうせいしょくどうえん,38,38,傷病名索引,,116
manulife_2024_09,吸引分娩,きゅういんぶんべん,63,63,傷病名索引,,117
