document_id,item_name,kana,document_page_number,pdf_page_number,source_type,memo,sort_order
medicare_2025_12,IgA 腎症,アイジーエージンショウ,61,64,傷病名索引,,1
medicare_2025_12,亜急性甲状腺炎,アキュウセイコウジョウセンエン,70,73,傷病名索引,,2
medicare_2025_12,アキレス腱断裂,アキレスケンダンレツ,43,46,傷病名索引,,3
medicare_2025_12,悪性睾丸腫瘍,アクセイコウガンシュヨウ,83,86,傷病名索引,,4
medicare_2025_12,悪性黒色腫,アクセイコクショクシュ,84,87,傷病名索引,,5
medicare_2025_12,悪性中皮腫,アクセイチュウヒシュ,84,87,傷病名索引,,6
medicare_2025_12,悪性貧血,アクセイヒンケツ,67,70,傷病名索引,,7
medicare_2025_12,悪性リンパ腫,アクセイリンパシュ,84,87,傷病名索引,,8
medicare_2025_12,アジソン病,アジソンビョウ,72,75,傷病名索引,,9
medicare_2025_12,アスベスト肺,アスベストハイ,49,52,傷病名索引,,10
medicare_2025_12,アスペルガー症候群,アスペルガーショウコウグン,63,66,傷病名索引,,11
medicare_2025_12,あせも,アセモ,40,43,傷病名索引,,12
medicare_2025_12,アデノイド,アデノイド,40,43,傷病名索引,,13
medicare_2025_12,アテローム,アテローム,80,83,傷病名索引,,14
medicare_2025_12,アトピー性皮膚炎,アトピーセイヒフエン,41,44,傷病名索引,,15
medicare_2025_12,アナフィラキシーショック,アナフィラキシーショック,87,90,傷病名索引,,16
medicare_2025_12,アナフィラクトイド紫斑病,アナフィラクトイドシハンビョウ,67,70,傷病名索引,,17
medicare_2025_12,アニサキス症,アニサキスショウ,50,53,傷病名索引,,18
medicare_2025_12,アミロイドーシス,アミロイドーシス,89,92,傷病名索引,,19
medicare_2025_12,アルコール依存症,アルコールイゾンショウ,89,92,傷病名索引,,20
medicare_2025_12,アルコール性肝炎,アルコールセイカンエン,54,57,傷病名索引,,21
medicare_2025_12,アルコール性肝障害,アルコールセイカンショウガイ,53,56,傷病名索引,,22
medicare_2025_12,アルツハイマー病,アルツハイマービョウ,66,69,傷病名索引,,23
medicare_2025_12,アルドステロン症,アルドステロンショウ,72,75,傷病名索引,,24
