document_id,item_name,kana,document_page_number,pdf_page_number,source_type,memo,sort_order
metlife_2026_07,RSウイルス,アールエスウイルス,8章 6節-1,90,傷病名索引,,1
metlife_2026_07,RBC（赤血球）（健康診断指摘のみ）,アールビーシー（セッケッキュウ）（ケンコウシンダンシテキノミ）,13章-2,159,傷病名索引,,2
metlife_2026_07,IgA血管炎,アイジーエーケッカンエン,8章 8節-3,104,傷病名索引,,3
metlife_2026_07,IgA腎症,アイジーエージンショウ,8章 4節-2,83,傷病名索引,,4
metlife_2026_07,IBS,アイビーエス,8章 3節-2,76,傷病名索引,,5
metlife_2026_07,アキレス腱炎,アキレスケンエン,8章 1節-1,51,傷病名索引,,6
metlife_2026_07,アキレス腱周囲炎,アキレスケンシュウイエン,8章 1節-1,51,傷病名索引,,7
metlife_2026_07,アキレス腱損傷,アキレスケンソンショウ,8章 1節-1,51,傷病名索引,,8
metlife_2026_07,アキレス腱断裂,アキレスケンダンレツ,8章 1節-1,51,傷病名索引,,9
metlife_2026_07,悪性エナメル上皮腫,アクセイエナメルジョウヒシュ,8章 13節-5,132,傷病名索引,,10
metlife_2026_07,悪性血管周囲細胞腫,アクセイケッカンシュウイサイボウシュ,8章 13節-7,134,傷病名索引,,11
metlife_2026_07,悪性血管周皮腫,アクセイケッカンシュウヒシュ,8章 13節-7,134,傷病名索引,,12
metlife_2026_07,悪性睾丸腫瘍（セミノーマ）,アクセイコウガンシュヨウ（セミノーマ）,8章 13節-5,132,傷病名索引,,13
metlife_2026_07,悪性黒色腫（メラノーマ）,アクセイコクショクシュ（メラノーマ）,8章 13節-4,131,傷病名索引,,14
metlife_2026_07,悪性線維性組織球腫,アクセイセンイセイソシキキュウシュ,8章 13節-7,134,傷病名索引,,15
metlife_2026_07,悪性リンパ腫,アクセイリンパシュ,8章 13節-8,135,傷病名索引,,16
metlife_2026_07,あざ,アザ,8章 9節-4,111,傷病名索引,,17
metlife_2026_07,足関節靭帯損傷,アシカンセツジンタイソンショウ,8章 1節-5,55,傷病名索引,,18
metlife_2026_07,足関節靭帯断裂,アシカンセツジンタイダンレツ,8章 1節-5,55,傷病名索引,,19
metlife_2026_07,アジソン病,アジソンビョウ,8章 8節-4,105,傷病名索引,,20
metlife_2026_07,足白癬,アシハクセン,8章 9節-3,110,傷病名索引,,21
metlife_2026_07,あせも,アセモ,8章 9節-2,109,傷病名索引,,22
metlife_2026_07,アデノイド,アデノイド,8章 6節-3,92,傷病名索引,,23
metlife_2026_07,アデノウイルス感染症,アデノウイルスカンセンショウ,8章 10節-3,115,傷病名索引,,24
metlife_2026_07,アテローム（粉瘤）,アテローム(フンリュウ）,8章 9節-3,110,傷病名索引,,25
metlife_2026_07,アトピー性皮膚炎,アトピーセイヒフエン,8章 9節-3,110,傷病名索引,,26
metlife_2026_07,アニサキス症,アニサキスショウ,8章 10節-1,113,傷病名索引,,27
metlife_2026_07,アルコール性肝炎,アルコールセイカンエン,8章 5節-3,88,傷病名索引,,28
metlife_2026_07,アルコール性肝硬変,アルコールセイカンコウヘン,8章 5節-3,88,傷病名索引,,29
metlife_2026_07,アルコール依存症,アルコールイゾンショウ,8章 15節-3,147,傷病名索引,,30
metlife_2026_07,アルコール中毒（急性）,アルコールチュウドク（キュウセイ）,8章 16節-2,149,傷病名索引,,31
metlife_2026_07,アルコール中毒（慢性）,アルコールチュウドク（マンセイ）,8章 15節-3,147,傷病名索引,,32
metlife_2026_07,アルドステロン症,アルドステロンショウ,8章 8節-3,104,傷病名索引,,33
metlife_2026_07,アルツハイマー型認知症,アルツハイマーガタニンチショウ,8章 15節-3,147,傷病名索引,,34
metlife_2026_07,アルツハイマー型老年認知症,アルツハイマーガタロウネンニンチショウ,8章 15節-3,147,傷病名索引,,35
metlife_2026_07,アルツハイマー病,アルツハイマービョウ,8章 15節-3,147,傷病名索引,,36
metlife_2026_07,アレルギー性血管炎,アレルギーセイケッカンエン,8章 8節-3,104,傷病名索引,,37
metlife_2026_07,アレルギー性結膜炎,アレルギーセイケツマクエン,8章 2節-6,70,傷病名索引,,38
metlife_2026_07,アレルギー性鼻炎,アレルギーセイビエン,8章 2節-9,73,傷病名索引,,39
