document_id,item_name,kana,document_page_number,pdf_page_number,source_type,memo,sort_order
orix_2025_12,RSウイルス感染症,アールエスウイルスカンセンショウ,43,43,傷病名索引,,1
orix_2025_12,IgA腎症,アイジーエージンショウ,82,82,傷病名索引,,2
orix_2025_12,悪性腫瘍,アクセイシュヨウ,44,44,傷病名索引,,3
orix_2025_12,悪性貧血,アクセイヒンケツ,56,56,傷病名索引,,4
orix_2025_12,悪性リンパ腫,アクセイリンパシュ,44,44,傷病名索引,,5
orix_2025_12,あせも,アセモ,87,87,傷病名索引,,6
orix_2025_12,アデノイド,アデノイド,73,73,傷病名索引,,7
orix_2025_12,アデノミオマトーシス,アデノミオマトーシス,76,76,傷病名索引,,8
orix_2025_12,アテローム,アテローム,46,46,傷病名索引,,9
orix_2025_12,アトピー性皮膚炎,アトピーセイヒフエン,52,52,傷病名索引,,10
orix_2025_12,アナフィラキシー,アナフィラキシー,52,52,傷病名索引,,11
orix_2025_12,アナフィラクトイド紫斑病,アナフィラクトイドシハンビョウ,58,58,傷病名索引,,12
orix_2025_12,アミロイドーシス,アミロイドーシス,52,52,傷病名索引,,13
orix_2025_12,アルコール依存症,アルコールイゾンショウ,58,58,傷病名索引,,14
orix_2025_12,アルコール性肝炎,アルコールセイカンエン,77,77,傷病名索引,,15
orix_2025_12,アルコール中毒(慢性),アルコールチュウドク（マンセイ）,58,58,傷病名索引,,16
orix_2025_12,アルツハイマー病,アルツハイマービョウ,58,58,傷病名索引,,17
orix_2025_12,アルドステロン症,アルドステロンショウ,55,55,傷病名索引,,18
orix_2025_12,アレルギー性気管支炎,アレルギーセイキカンシエン,53,53,傷病名索引,,19
orix_2025_12,アレルギー性紫斑病,アレルギーセイシハンビョウ,58,58,傷病名索引,,20
orix_2025_12,アレルギー性鼻炎,アレルギーセイビエン,52,52,傷病名索引,,21
orix_2025_12,アレルギー性皮膚炎,アレルギーセイヒフエン,52,52,傷病名索引,,22
orix_2025_12,アレルギー反応,アレルギーハンノウ,52,52,傷病名索引,,23
orix_2025_12,EBウイルス肝炎,イービーウイルスカンエン,43,43,傷病名索引,,24
orix_2025_12,EBウイルス感染症,イービーウイルスカンセンショウ,43,43,傷病名索引,,25
orix_2025_12,胃炎(急性),イエン（キュウセイ）,75,75,傷病名索引,,26
orix_2025_12,胃潰瘍,イカイヨウ,76,76,傷病名索引,,27
orix_2025_12,胃酸過多症,イサンカタショウ,75,75,傷病名索引,,28
orix_2025_12,萎縮性胃炎,イシュクセイイエン,75,75,傷病名索引,,29
orix_2025_12,胃食道逆流症,イショクドウギャクリュウショウ,75,75,傷病名索引,,30
orix_2025_12,一過性脳虚血発作(TIA),イッカセイノウキョケツホッサ（ティーアイエー）,62,62,傷病名索引,,31
orix_2025_12,いぼ,イボ,87,87,傷病名索引,,32
orix_2025_12,胃ポリープ,イポリープ,48,48,傷病名索引,,33
orix_2025_12,イレウス,イレウス,79,79,傷病名索引,,34
orix_2025_12,インスリノーマ,インスリノーマ,46,46,傷病名索引,,35
orix_2025_12,咽頭炎(急性・慢性),イントウエン（キュウセイ・マンセイ）,73,73,傷病名索引,,36
orix_2025_12,咽頭喉頭炎,イントウコウトウエン,73,73,傷病名索引,,37
orix_2025_12,陰嚢水腫,インノウスイシュ,83,83,傷病名索引,,38
orix_2025_12,陰嚢膿瘍,インノウノウヨウ,83,83,傷病名索引,,39
orix_2025_12,陰嚢ヘルニア,インノウヘルニア,78,78,傷病名索引,,40
orix_2025_12,インプラント,インプラント,75,75,傷病名索引,,41
orix_2025_12,インフルエンザ,インフルエンザ,43,43,傷病名索引,,42
orix_2025_12,ウィリス動脈輪閉塞症,ウィリスドウミャクリンヘイソクショウ,62,62,傷病名索引,,43
orix_2025_12,ウイルス性髄膜炎,ウイルスセイズイマクエン,42,42,傷病名索引,,44
orix_2025_12,ウィルソン病,ウィルソンビョウ,52,52,傷病名索引,,45
orix_2025_12,うおのめ,ウオノメ,87,87,傷病名索引,,46
orix_2025_12,うつ病,ウツビョウ,59,59,傷病名索引,,47
orix_2025_12,エイズ,エイズ,42,42,傷病名索引,,48
orix_2025_12,HIV抗体陽性,エイチアイブイコウタイヨウセイ,42,42,傷病名索引,,49
orix_2025_12,A型肝炎(急性),エーガタカンエン（キュウセイ）,77,77,傷病名索引,,50
orix_2025_12,AGA,エージーエー,87,87,傷病名索引,,51
orix_2025_12,エコノミークラス症候群,エコノミークラスショウコウグン,68,68,傷病名索引,,52
orix_2025_12,円形脱毛症,エンケイダツモウショウ,87,87,傷病名索引,,53
orix_2025_12,円錐角膜,エンスイカクマク,63,63,傷病名索引,,54
orix_2025_12,横隔膜ヘルニア,オウカクマクヘルニア,76,76,傷病名索引,,55
orix_2025_12,黄色靭帯骨化症,オウショクジンタイコツカショウ,89,89,傷病名索引,,56
orix_2025_12,黄体機能不全,オウタイキノウフゼン,85,85,傷病名索引,,57
orix_2025_12,黄斑円孔,オウハンエンコウ,66,66,傷病名索引,,58
orix_2025_12,黄斑上膜,オウハンジョウマク,66,66,傷病名索引,,59
