document_id,item_name,kana,document_page_number,pdf_page_number,source_type,memo,sort_order
tokio_marine_anshin_2026_01,RSR,あーるえすあーる,73,84,健康診断検査項目索引,,1
tokio_marine_anshin_2026_01,胃下垂,いかすい,82,93,健康診断検査項目索引,,2
tokio_marine_anshin_2026_01,RSR’パターン,あーるえすあーる’ぱたーん,73,84,健康診断検査項目索引,,3
tokio_marine_anshin_2026_01,胃カタル,いかたる,16,27,傷病名索引,,4
tokio_marine_anshin_2026_01,RSRパターン,あーるえすあーるぱたーん,73,84,健康診断検査項目索引,,5
tokio_marine_anshin_2026_01,胃癌,いがん,33,44,傷病名索引,,6
tokio_marine_anshin_2026_01,RSウイルス感染症,あーるえすういるすかんせんしょう,12,23,傷病名索引,,7
tokio_marine_anshin_2026_01,胃憩室炎,いけいしつえん,17,28,傷病名索引,,8
tokio_marine_anshin_2026_01,R波増高,あーるはぞうこう,74,85,健康診断検査項目索引,,9
tokio_marine_anshin_2026_01,胃憩室炎,いけいしつえん,83,94,健康診断検査項目索引,,10
tokio_marine_anshin_2026_01,R波増高不良,あーるはぞうこうふりょう,74,85,健康診断検査項目索引,,11
tokio_marine_anshin_2026_01,胃憩室症,いけいしつしょう,17,28,傷病名索引,,12
tokio_marine_anshin_2026_01,IgA血管炎,あいじーえーけっかんえん,41,52,傷病名索引,,13
tokio_marine_anshin_2026_01,胃憩室症,いけいしつしょう,83,94,健康診断検査項目索引,,14
tokio_marine_anshin_2026_01,IgA腎症,あいじーえーじんしょう,22,33,傷病名索引,,15
tokio_marine_anshin_2026_01,胃酸過多,いさんかた,16,27,傷病名索引,,16
tokio_marine_anshin_2026_01,アキレス腱断裂,あきれすけんだんれつ,48,59,傷病名索引,,17
tokio_marine_anshin_2026_01,萎縮性胃炎,いしゅくせいいえん,82,93,健康診断検査項目索引,,18
tokio_marine_anshin_2026_01,悪性睾丸腫瘍（セミノーマ）,あくせいこうがんしゅよう（せみのーま）,38,49,傷病名索引,,19
tokio_marine_anshin_2026_01,異常Q波,いじょうきゅーは,74,85,健康診断検査項目索引,,20
tokio_marine_anshin_2026_01,悪性貧血,あくせいひんけつ,41,52,傷病名索引,,21
tokio_marine_anshin_2026_01,異常出血,いじょうしゅっけつ,59,70,傷病名索引,,22
tokio_marine_anshin_2026_01,悪性リンパ腫,あくせいりんぱしゅ,38,49,傷病名索引,,23
tokio_marine_anshin_2026_01,胃上皮内癌,いじょうひないがん,33,44,傷病名索引,,24
