document_id,item_name,kana,document_page_number,pdf_page_number,source_type,memo,sort_order
zurich_2026_04,ＩｇＡ腎症,ｱｲｼﾞｰｴｲｼﾞﾝｼｮｳ,119,119,傷病名索引,,1
zurich_2026_04,アイゼンメンゲル症候群,ｱｲｾﾞﾝﾒﾝｹﾞﾙｼｮｳｺｳｸﾞﾝ,80,80,傷病名索引,,2
zurich_2026_04,アイゼンメンジャー症候群,ｱｲｾﾞﾝﾒﾝｼﾞｬｰｼｮｳｺｳｸﾞﾝ,80,80,傷病名索引,,3
zurich_2026_04,ＩＢＳ,ｱｲﾋﾞｰｴｽ,100,100,傷病名索引,,4
zurich_2026_04,亜急性壊死性リンパ節炎,ｱｷｭｳｾｲｴｼｾｲﾘﾝﾊﾟｾﾂｴﾝ,61,61,傷病名索引,,5
zurich_2026_04,亜急性甲状腺炎,ｱｷｭｳｾｲｺｳｼﾞｮｳｾﾝｴﾝ,43,43,傷病名索引,,6
zurich_2026_04,亜急性心内膜炎,ｱｷｭｳｾｲｼﾝﾅｲﾏｸｴﾝ,82,82,傷病名索引,,7
zurich_2026_04,アキレス腱炎,ｱｷﾚｽｹﾝｴﾝ,145,145,傷病名索引,,8
zurich_2026_04,アキレス腱周囲炎,ｱｷﾚｽｹﾝｼｭｳｲｴﾝ,145,145,傷病名索引,,9
zurich_2026_04,アキレス腱損傷,ｱｷﾚｽｹﾝｿﾝｼｮｳ,153,153,傷病名索引,,10
zurich_2026_04,アキレス腱断裂,ｱｷﾚｽｹﾝﾀﾞﾝﾚﾂ,153,153,傷病名索引,,11
zurich_2026_04,悪性黒色腫,ｱｸｾｲｺｸｼｮｸｼｭ,21,21,傷病名索引,,12
zurich_2026_04,悪性絨毛上皮腫,ｱｸｾｲｼﾞｭｳﾓｳｼﾞｮｳﾋｼｭ,21,21,傷病名索引,,13
zurich_2026_04,悪性新生物（がん）,ｱｸｾｲｼﾝｾｲﾌﾞﾂ,21,21,傷病名索引,,14
zurich_2026_04,悪性線維性組織球腫,ｱｸｾｲｾﾝｲｾｲｿｼｷｷｭｳｼｭ,21,21,傷病名索引,,15
zurich_2026_04,悪性末梢神経鞘腫瘍,ｱｸｾｲﾏｯｼｮｳｼﾝｹｲｼｮｳｼｭﾖｳ,21,21,傷病名索引,,16
zurich_2026_04,悪性リンパ腫,ｱｸｾｲﾘﾝﾊﾟｼｭ,22,22,傷病名索引,,17
zurich_2026_04,アクチノミコーゼ,ｱｸﾁﾉﾐｺｰｾﾞ,20,20,傷病名索引,,18
zurich_2026_04,あざ,ｱｻﾞ,157,157,傷病名索引,,19
zurich_2026_04,足関節内側靭帯損傷,ｱｼｶﾝｾﾂｳﾁｶﾞﾜｼﾞﾝﾀｲｿﾝｼｮｳ,153,153,傷病名索引,,20
zurich_2026_04,足関節内側靭帯断裂,ｱｼｶﾝｾﾂｳﾁｶﾞﾜｼﾞﾝﾀｲﾀﾞﾝﾚﾂ,153,153,傷病名索引,,21
zurich_2026_04,足関節靭帯損傷,ｱｼｶﾝｾﾂｼﾞﾝﾀｲｿﾝｼｮｳ,153,153,傷病名索引,,22
zurich_2026_04,足関節靭帯断裂,ｱｼｶﾝｾﾂｼﾞﾝﾀｲﾀﾞﾝﾚﾂ,153,153,傷病名索引,,23
